time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst
2024-05-30T12:09:50.310Z,24.1257,121.6918,36.995,4.4,46,65,0.613,0.6,2024-08-06T20:32:48.040Z,"18 km NNE of Hualien City, Taiwan",earthquake,2.91,7.789,0.109,24
2024-05-30T01:11:38.942Z,24.1663,121.6683,31.898,4.8,95,64,0.567,0.69,2024-08-06T20:32:48.040Z,"21 km NNE of Hualien City, Taiwan",earthquake,3.03,4.66,0.11,8
2024-05-29T23:54:44.796Z,23.9455,121.7968,26.427,4.6,151,65,0.716,0.56,2024-08-06T20:32:48.040Z,"19 km E of Hualien City, Taiwan",earthquake,3.41,4.444,0.066,22
2024-05-29T02:41:51.152Z,24.137,121.6623,35.479,3.9,47,79,0.591,0.65,2024-08-06T20:32:47.040Z,"18 km NNE of Hualien City, Taiwan",earthquake,3.31,3.418,0.073,18
2024-05-27T21:48:49.558Z,24.4388,121.8892,26.622,3.8,32,72,0.521,0.56,2024-08-06T20:32:51.040Z,"37 km SSE of Yilan, Taiwan",earthquake,4.76,6.184,0.089,12
2024-05-25T03:48:43.791Z,24.1751,121.7083,29.484,3.9,38,118,0.578,0.75,2024-08-06T02:10:00.040Z,"24 km NNE of Hualien City, Taiwan",earthquake,3.56,5.959,0.073,18
2024-05-24T17:07:12.173Z,24.1915,121.7115,35.281,4.6,119,47,0.566,0.63,2024-08-06T02:09:55.040Z,"26 km NNE of Hualien City, Taiwan",earthquake,3.28,4.898,0.06,27
2024-05-24T17:06:38.129Z,24.1582,121.7124,23.869,4.4,91,49,0.594,0.74,2024-08-06T02:10:02.040Z,"22 km NNE of Hualien City, Taiwan",earthquake,1.72,4.913,0.065,76
2024-05-24T03:10:04.219Z,24.3037,122.0628,15.396,4.1,25,61,0.724,1.04,2024-08-06T02:10:06.040Z,"58 km NE of Hualien City, Taiwan",earthquake,3.45,0.977,0.069,20
2024-05-23T13:59:28.842Z,23.9182,121.2827,10,3.9,32,80,0.328,0.9,2024-08-06T02:10:12.040Z,"32 km E of Puli, Taiwan",earthquake,3.04,1.461,0.075,17
2024-05-22T08:00:40.725Z,23.7696,121.7699,10,5.2,87,73,0.433,0.82,2024-08-06T02:10:10.040Z,"28 km SE of Hualien City, Taiwan",earthquake,2.22,1.818,0.068,21
2024-05-20T09:20:15.225Z,24.1511,121.8509,26.828,4.2,49,64,0.674,0.78,2024-08-06T02:10:02.040Z,"31 km NE of Hualien City, Taiwan",earthquake,2.17,5.238,0.062,25
2024-05-20T07:56:03.284Z,23.9269,122.37,35.793,4.4,102,73,0.795,0.78,2024-08-06T02:09:54.040Z,"78 km E of Hualien City, Taiwan",earthquake,1.92,7.25,0.068,21
2024-05-19T02:55:20.660Z,24.1471,121.7705,26.835,4.3,27,79,0.632,0.86,2024-07-26T23:58:12.040Z,"25 km NE of Hualien City, Taiwan",earthquake,3.26,0.798,0.161,11
2024-05-18T18:00:29.082Z,23.7554,121.817,18.004,4.2,58,58,0.598,0.77,2024-07-26T23:58:12.040Z,"32 km SE of Hualien City, Taiwan",earthquake,2.84,3.659,0.065,23
2024-05-17T03:49:55.961Z,23.8911,121.6681,41.225,4.3,49,82,0.602,1.08,2024-07-26T23:58:10.040Z,"11 km SE of Hualien City, Taiwan",earthquake,4.15,6.861,0.071,19
2024-05-14T02:34:14.732Z,23.9965,121.7128,22.663,4.2,55,67,0.712,0.69,2024-07-26T23:58:08.040Z,"11 km E of Hualien City, Taiwan",earthquake,3.47,5.103,0.063,24
2024-05-13T23:23:00.719Z,23.9303,122.3805,35,4,16,152,0.786,0.52,2024-07-26T23:58:08.040Z,"79 km E of Hualien City, Taiwan",earthquake,2.81,1.965,0.299,3
2024-05-11T19:07:32.741Z,24.2097,121.6771,34.809,4.2,52,63,0.534,0.86,2024-07-20T22:20:07.040Z,"26 km NNE of Hualien City, Taiwan",earthquake,2.43,4.981,0.06,27
2024-05-11T11:09:18.034Z,23.9078,121.6257,10.101,4.1,43,84,0.595,0.75,2024-07-20T22:20:07.040Z,"7 km SSE of Hualien City, Taiwan",earthquake,2.65,3.926,0.062,25
2024-05-11T09:44:39.122Z,23.9873,121.7701,28.929,4.4,65,81,0.734,0.91,2024-07-20T22:20:07.040Z,"16 km E of Hualien City, Taiwan",earthquake,1.64,4.766,0.075,17
2024-05-11T05:16:02.695Z,23.8488,121.6454,14.668,4.6,73,71,0.555,0.45,2024-07-20T22:20:07.040Z,"14 km SSE of Hualien City, Taiwan",earthquake,3.14,4.439,0.086,13
2024-05-10T07:49:28.759Z,24.2253,121.9344,5.628,4.8,34,79,0.674,0.63,2024-07-20T22:20:05.040Z,"43 km NE of Hualien City, Taiwan",earthquake,2.65,2.787,0.124,20
2024-05-10T07:45:18.196Z,24.1885,121.9049,11.296,5.8,103,27,0.68,0.77,2024-10-09T09:33:12.897Z,"38 km NE of Hualien City, Taiwan",earthquake,4.6,3.421,0.054,33
2024-05-10T01:37:22.512Z,23.8075,121.6737,8.863,4.6,47,101,0.538,1.01,2024-07-20T22:20:05.040Z,"20 km SSE of Hualien City, Taiwan",earthquake,3.86,4.57,0.086,13
2024-05-10T01:35:38.361Z,23.6582,121.6748,10,4.7,68,63,0.436,0.95,2024-07-20T22:20:05.040Z,"36 km SSE of Hualien City, Taiwan",earthquake,3.8,1.828,0.089,12
2024-05-09T12:36:25.304Z,23.8467,121.6675,14.121,4.1,44,83,0.566,0.65,2024-07-20T22:20:04.040Z,"15 km SSE of Hualien City, Taiwan",earthquake,2.85,4.344,0.075,17
2024-05-08T08:40:44.191Z,23.6431,121.6451,15.673,4.9,48,90,0.405,1.07,2024-07-20T22:20:02.040Z,"37 km S of Hualien City, Taiwan",earthquake,4.54,4.825,0.088,40
2024-05-07T12:48:42.011Z,23.7183,121.5536,21.403,4.2,79,73,0.401,0.66,2024-07-20T22:20:02.040Z,"29 km S of Hualien City, Taiwan",earthquake,1.55,4.583,0.065,23
2024-05-06T18:10:40.930Z,24.176,121.8987,12.748,4.2,37,79,0.685,0.63,2024-07-20T22:20:01.040Z,"37 km NE of Hualien City, Taiwan",earthquake,2.78,4.797,0.063,24
2024-05-06T09:52:45.587Z,23.7307,121.5574,28.949,5.2,124,35,0.413,0.97,2024-10-09T07:34:39.713Z,"27 km S of Hualien City, Taiwan",earthquake,3.48,3.197,0.089,12
2024-05-06T09:45:30.649Z,23.7213,121.5958,23.605,5.6,121,35,0.427,0.84,2024-10-09T05:42:06.472Z,"28 km S of Hualien City, Taiwan",earthquake,4.42,1.268,0.065,23
2024-05-02T08:36:50.206Z,23.9374,122.3485,27.061,4,19,88,0.803,0.93,2024-07-15T03:58:25.040Z,"75 km E of Hualien City, Taiwan",earthquake,4.05,2.71,0.089,12
2024-05-02T02:07:27.035Z,22.4411,121.5233,9.233,4.8,99,80,0.555,0.78,2024-07-15T03:58:31.040Z,"93 km ENE of Hengchun, Taiwan",earthquake,4.96,3.977,0.103,9
2024-04-30T13:58:06.406Z,23.7022,121.525,16.961,4.7,39,88,0.373,0.67,2024-07-15T03:58:45.040Z,"31 km SSW of Hualien City, Taiwan",earthquake,2.96,4.414,0.114,25
2024-04-30T09:35:30.575Z,23.7767,121.258,6.764,4.1,54,71,0.279,0.52,2024-07-15T03:58:47.040Z,"36 km SE of Puli, Taiwan",earthquake,4.77,4.993,0.086,13
2024-04-30T04:07:48.359Z,24.1504,121.6864,37.744,4.4,40,79,0.589,0.69,2024-07-15T03:58:49.040Z,"20 km NNE of Hualien City, Taiwan",earthquake,3.05,8.597,0.107,25
2024-04-29T16:21:46.288Z,24.0661,121.6656,24.534,4.2,63,78,0.656,0.79,2024-07-15T03:58:54.040Z,"11 km NNE of Hualien City, Taiwan",earthquake,3.17,4.627,0.06,27
